gene,n_residues,rg_angstrom,rh_angstrom,dmax_angstrom,asphericity,anisotropy,axial_ratio,perrin_friction,compactness_vs_globular,diffusion_relative,net_charge,isoelectric_point,surface_charge,charge_dipole
MAP2K1,393,22.26,28.71,77.61,0.3283,0.1141,1.761,1.029,1.0451,0.6769,-3.1,6.18,-6.7,139.7
MAP2K2,400,22.73,29.32,74.02,0.3145,0.1084,1.776,1.0299,1.0602,0.6622,-4.0,6.11,-9.5,144.2
MAP3K7,606,39.74,51.26,179.35,0.3671,0.1372,1.779,1.0301,1.5828,0.3788,-0.7,6.71,-1.6,579.9
MAPK1,360,21.99,28.36,85.37,0.4342,0.196,2.118,1.0516,1.0675,0.6705,-1.7,6.53,-7.3,131.7
MBOAT7,472,23.44,30.23,79.42,0.2244,0.0537,1.465,1.0131,1.0265,0.653,13.9,9.06,6.3,193.5
MCOLN1,580,36.86,47.55,133.66,0.5691,0.3444,3.419,1.142,1.4929,0.3683,0.4,6.87,-9.3,393.1
METAP2,478,28.09,36.24,113.81,0.2555,0.0687,1.533,1.0165,1.2245,0.543,-10.9,5.48,-16.7,182.0
MFSD11,449,22.63,29.2,78.57,0.3046,0.1161,1.932,1.0396,1.0103,0.659,-4.6,5.37,-4.7,339.3
MFSD12,480,24.68,31.83,103.18,0.3955,0.1661,2.031,1.0459,1.074,0.6007,8.4,8.21,1.6,141.4
MKNK1,465,32.53,41.97,139.13,0.3248,0.1241,1.938,1.0399,1.433,0.4583,-3.0,6.25,-4.8,186.2
MPHOSPH10,681,54.37,70.14,174.34,0.3647,0.1724,2.435,1.073,2.0719,0.2657,-51.1,4.62,-56.4,1378.3
MTOR,2549,50.82,65.55,178.89,0.3657,0.155,2.13,1.0524,1.1726,0.2899,-4.7,6.72,-44.7,414.1
MYBBP1A,1328,46.86,60.45,166.57,0.2153,0.0749,1.705,1.0258,1.3853,0.3225,37.5,9.66,10.2,1433.8
MYO1B,1136,51.7,66.7,211.21,0.5952,0.3598,2.817,1.0996,1.622,0.2727,49.2,9.72,35.1,3093.4
MYO1C,1063,67.55,87.13,208.27,0.8238,0.6791,4.414,1.2107,2.1731,0.1896,37.5,9.72,16.2,2224.5
NAPG,312,29.56,38.13,117.95,0.6253,0.4117,4.236,1.1986,1.5154,0.4376,-8.5,5.17,-10.0,317.1
NCL,710,46.27,59.69,143.43,0.1891,0.0392,1.394,1.0099,1.7355,0.3318,-59.9,4.45,-16.9,2460.2
NCLN,563,34.74,44.81,131.95,0.7688,0.5911,3.405,1.1411,1.4229,0.3911,-3.3,6.42,-6.3,139.3
NEK9,979,39.04,50.36,145.9,0.2723,0.0796,1.606,1.0203,1.2959,0.3892,-21.8,5.42,-28.4,566.1
NEMF,1076,45.61,58.83,136.11,0.2806,0.0881,1.683,1.0245,1.4605,0.3318,-13.6,5.93,-36.1,1305.2
NFKB1,968,45.54,58.74,147.88,0.3731,0.1437,1.848,1.0343,1.5181,0.3292,-37.0,5.08,-30.0,346.3
NIFK,293,34.8,44.89,120.45,0.5019,0.2575,2.333,1.066,1.8268,0.418,22.4,10.31,8.2,551.3
NMD3,503,39.27,50.65,135.71,0.7526,0.5679,3.739,1.1644,1.6788,0.3391,-0.4,6.75,-7.1,521.4
NOL11,719,36.84,47.52,114.89,0.4317,0.2071,2.418,1.0719,1.375,0.3926,-12.3,5.69,-10.3,485.3
NOM1,860,44.11,56.9,155.72,0.3457,0.1205,1.68,1.0244,1.538,0.3431,6.0,8.08,-10.3,2146.1
NONO,471,50.66,65.35,182.03,0.6482,0.4223,2.899,1.1054,2.2207,0.2769,6.4,9.39,-0.2,132.2
NOP2,812,46.13,59.51,151.71,0.0582,0.0087,1.17,1.0022,1.6442,0.3353,20.3,9.64,-1.6,1704.5
NOP53,478,57.67,74.39,186.51,0.5637,0.319,2.385,1.0696,2.5138,0.2514,36.6,10.8,11.1,1032.1
NPM3,178,33.4,43.09,134.36,0.84,0.7061,4.727,1.2317,2.1194,0.3768,-16.5,4.4,-15.7,298.7
NRBP1,535,32.39,41.79,122.15,0.3029,0.1135,1.907,1.038,1.3529,0.4611,-26.5,4.89,-26.5,209.3
NSA2,260,31.26,40.33,87.94,0.4144,0.2005,2.503,1.0777,1.7174,0.4602,39.8,10.72,19.5,330.4
NSDHL,373,28.31,36.52,138.01,0.6729,0.4534,2.862,1.1028,1.356,0.4966,3.0,8.07,0.3,314.2
NUCKS1,243,41.71,53.8,113.27,0.1982,0.0437,1.426,1.0113,2.351,0.3676,-12.8,4.84,-8.9,762.3
NUFIP2,695,57.99,74.8,172.29,0.1712,0.0333,1.366,1.0088,2.1926,0.265,8.3,9.09,8.8,1104.3
NUMA1,2115,77.3,99.71,279.24,0.4647,0.2338,2.52,1.0789,1.9148,0.1859,-42.2,5.53,-28.8,2476.5
NVL,856,39.2,50.56,129.0,0.2676,0.0748,1.556,1.0176,1.3693,0.3887,-5.8,6.07,-6.5,902.3
OCRL,901,50.1,64.63,151.5,0.7241,0.5263,3.523,1.1493,1.7164,0.2693,-8.0,6.11,-14.4,1135.7
OSBPL8,889,40.38,52.09,138.77,0.1685,0.0326,1.363,1.0086,1.3904,0.3807,-3.0,6.52,-14.0,1193.5
OST4,37,15.99,20.63,53.01,0.9426,0.8886,8.0,1.4439,1.8432,0.6714,0.1,7.67,0.0,41.8
OXSR1,527,29.81,38.46,99.73,0.2024,0.0565,1.554,1.0176,1.2523,0.511,-5.0,6.0,-4.6,253.1
PABPC4,644,40.75,52.57,120.19,0.3092,0.1058,1.771,1.0297,1.586,0.3695,17.1,9.61,-0.8,253.1
PACSIN2,486,47.47,61.23,176.92,0.7387,0.5475,3.627,1.1566,2.0561,0.2824,-21.0,4.95,-21.8,439.7
PACSIN3,424,48.43,62.47,176.33,0.7892,0.6271,5.15,1.2596,2.2094,0.2542,-8.7,5.78,-10.5,686.4
PAK4,591,38.27,49.37,139.99,0.2416,0.0615,1.497,1.0147,1.539,0.3992,20.5,10.14,19.6,325.9
PASK,1323,47.38,61.12,152.1,0.0709,0.0066,1.152,1.0018,1.4027,0.3267,-71.2,4.61,-57.8,392.6
PDAP1,181,41.34,53.33,140.84,0.7126,0.5123,3.767,1.1663,2.6065,0.3215,3.2,9.41,1.1,725.9
PDCD11,1871,48.27,62.27,153.66,0.3268,0.1086,1.661,1.0233,1.2529,0.3138,37.3,9.13,6.9,1344.3
PDCD6IP,868,45.78,59.06,152.99,0.5314,0.2991,2.904,1.1058,1.5909,0.3063,-4.9,6.1,-11.6,352.3
PDCL3,239,28.32,36.53,106.52,0.455,0.2288,2.569,1.0823,1.6066,0.5058,-15.7,4.62,-14.9,445.8
PEX3,373,32.21,41.55,131.95,0.7103,0.5103,3.913,1.1764,1.5427,0.4092,3.9,8.13,2.5,523.0
PFN1,140,13.65,17.61,42.5,0.1336,0.0289,1.361,1.0085,0.9492,1.1258,2.2,8.44,-0.8,22.6
PHKG2,406,28.32,36.53,90.0,0.3838,0.1662,2.161,1.0544,1.3134,0.5192,-7.5,5.94,-11.5,576.2
PI4K2A,479,30.67,39.57,118.72,0.3344,0.1409,2.123,1.0519,1.3359,0.4806,4.9,8.32,-5.6,442.2
PI4KA,2102,52.59,67.84,167.11,0.5798,0.3455,2.92,1.1069,1.3057,0.2663,-4.2,6.63,-23.5,567.1
PICALM,652,40.38,52.1,131.95,0.1418,0.0202,1.233,1.0039,1.5645,0.3824,2.2,7.95,-2.4,229.2
PIK3C2A,1686,42.4,54.69,156.23,0.3108,0.0988,1.632,1.0217,1.1448,0.3579,11.8,7.89,-5.6,691.5
PIK3C3,887,37.41,48.26,131.9,0.4899,0.2401,1.997,1.0437,1.2893,0.3971,-4.2,6.36,-24.8,297.4
PIKFYVE,2098,53.12,68.53,209.71,0.3767,0.1423,1.723,1.0268,1.32,0.2842,-18.0,6.23,-45.6,692.7
PIP4K2A,406,27.71,35.75,137.21,0.4431,0.202,2.104,1.0506,1.2853,0.5325,-2.3,6.54,-15.3,373.6
PIP4K2C,421,28.49,36.75,114.79,0.5147,0.2705,2.388,1.0698,1.3031,0.5088,-3.4,6.38,-10.3,226.5
PIP4P1,277,32.7,42.19,121.92,0.546,0.3031,2.51,1.0782,1.754,0.4397,16.8,8.89,-0.7,428.0
PIP5K1C,668,37.01,47.74,132.45,0.1056,0.0166,1.257,1.0047,1.4206,0.417,-22.6,5.04,-28.9,705.4
PKN1,942,34.39,44.37,118.22,0.309,0.0972,1.617,1.0209,1.1586,0.4415,-9.3,5.96,0.4,173.6
PLPP1,284,28.45,36.7,135.09,0.7707,0.5967,4.248,1.1994,1.5113,0.4544,3.0,7.89,-1.5,41.1
PNPLA2,504,31.24,40.3,121.84,0.333,0.1454,2.197,1.0568,1.3348,0.4695,-0.8,6.67,-3.5,424.1
POLR2A,1970,47.36,61.1,173.6,0.2382,0.0629,1.536,1.0166,1.2054,0.322,1.2,6.99,-27.8,1086.5
POLR2C,275,24.25,31.28,83.46,0.4211,0.2138,2.724,1.0931,1.3041,0.5849,-16.4,4.64,-17.6,199.1
POLR2D,142,18.37,23.7,55.56,0.2778,0.1572,2.589,1.0837,1.2701,0.7788,-10.7,4.6,-8.9,83.8
POLR2I,125,22.54,29.08,66.12,0.6699,0.4525,3.224,1.1283,1.6361,0.6095,-8.4,4.87,-9.7,51.4
POLR3C,534,28.87,37.25,101.42,0.3235,0.1053,1.614,1.0207,1.2067,0.5261,0.2,6.95,-2.6,267.9
PPM1G,546,35.0,45.15,144.25,0.2654,0.0907,1.771,1.0297,1.4504,0.4302,-74.2,4.12,-64.8,1359.6
PPP6R1,881,40.06,51.68,154.36,0.1977,0.0589,1.581,1.0189,1.3841,0.3798,-75.9,4.3,-56.2,1293.5
PRMT9,845,33.78,43.58,143.67,0.1808,0.0873,1.812,1.0321,1.1858,0.4447,-35.5,4.99,-28.8,392.7
PRPF19,504,31.6,40.77,100.43,0.4487,0.2178,2.401,1.0707,1.3502,0.4582,-6.2,6.14,-2.5,236.3
PRPF4B,1007,52.11,67.22,163.05,0.074,0.0072,1.159,1.0019,1.7114,0.2969,106.6,10.71,113.4,966.8
PRPF8,2335,52.22,67.37,204.45,0.4252,0.1885,2.092,1.0498,1.2459,0.2828,40.3,9.04,-5.2,2126.1
PSMA5,241,18.27,23.57,60.78,0.3105,0.1097,1.819,1.0326,1.0333,0.8217,-14.5,4.59,-11.7,80.5
PSMB4,264,22.17,28.6,100.15,0.4955,0.2666,2.805,1.0988,1.2108,0.6365,-2.7,5.63,-4.8,149.3
PSMC4,418,37.3,48.12,146.3,0.6787,0.4653,3.413,1.1416,1.7111,0.3641,-15.3,4.95,-22.6,461.5
PSMC5,406,38.9,50.19,146.03,0.6619,0.4481,3.755,1.1655,1.8044,0.3419,0.8,7.38,-0.8,283.8
PSMC6,389,32.87,42.41,120.57,0.3228,0.1733,2.724,1.0931,1.5497,0.4314,0.8,7.26,-3.4,298.2
PSMD1,953,36.14,46.61,141.51,0.3126,0.1093,1.802,1.0315,1.2119,0.416,-29.9,5.12,-38.3,597.1
PSMD13,376,29.72,38.34,109.2,0.6674,0.4484,3.132,1.1218,1.4192,0.465,-9.9,5.46,-12.4,44.3
PSMD2,908,34.05,43.93,117.46,0.4641,0.2195,2.128,1.0522,1.1632,0.4327,-35.9,4.94,-44.3,598.1
PSMD7,324,38.79,50.04,153.11,0.702,0.5043,4.623,1.2248,1.9601,0.3264,-2.9,6.31,3.5,489.6
PSME1,249,29.61,38.19,112.16,0.7579,0.5792,4.528,1.2183,1.6535,0.4298,-3.6,5.7,-10.0,111.3
PSME2,239,28.68,37.0,107.04,0.7518,0.5678,3.959,1.1796,1.6271,0.4582,-5.5,5.45,-8.7,266.9
PSME3,254,30.27,39.05,115.02,0.7297,0.5357,3.788,1.1678,1.678,0.4386,-4.5,5.61,-9.8,72.5
PTDSS2,487,32.11,41.43,117.93,0.3364,0.1395,2.091,1.0498,1.39,0.4599,-6.0,5.83,-7.5,368.6
RAB10,200,23.6,30.45,97.53,0.6816,0.4647,2.825,1.1002,1.4327,0.597,3.3,8.56,1.2,101.8
RAB14,215,22.62,29.17,101.95,0.6515,0.425,2.744,1.0945,1.3355,0.6263,-2.6,5.82,-7.7,113.5
RAB7A,207,20.07,25.89,78.08,0.4215,0.1897,2.179,1.0556,1.2024,0.7318,0.0,6.58,0.0,50.6
RAB8B,207,23.41,30.2,83.56,0.5676,0.3257,2.548,1.0809,1.4025,0.6127,6.1,9.46,2.0,237.0
RAB9A,201,21.14,27.28,94.74,0.5718,0.3286,2.449,1.074,1.281,0.6827,-5.6,5.14,-6.7,189.8
RABGAP1L,815,37.16,47.93,141.81,0.3593,0.1464,2.041,1.0465,1.3225,0.3987,-28.2,5.05,-36.5,440.9
RAC1,192,16.93,21.84,63.74,0.1915,0.0536,1.54,1.0168,1.0437,0.9006,5.2,8.56,3.2,223.1
RAC3,192,17.03,21.97,65.82,0.1861,0.0518,1.529,1.0163,1.0498,0.8959,3.3,8.14,3.3,174.9
RACK1,317,18.3,23.61,56.86,0.1845,0.0477,1.495,1.0146,0.9325,0.835,1.8,7.54,-4.9,151.5
RAD17,681,36.27,46.79,132.09,0.2191,0.0589,1.548,1.0172,1.382,0.4202,-1.4,6.64,-8.4,869.6
RAD21,631,46.85,60.44,150.74,0.1848,0.0473,1.49,1.0144,1.8379,0.3262,-55.9,4.4,-53.7,695.5
RBBP4,425,22.75,29.35,91.14,0.2369,0.062,1.529,1.0163,1.0371,0.6705,-35.0,4.6,-22.4,422.4
RBM10,930,49.83,64.28,159.93,0.1914,0.0509,1.516,1.0156,1.6868,0.3063,-17.0,5.62,-14.1,521.0
RBM15B,890,49.62,64.01,158.78,0.1359,0.0254,1.329,1.0073,1.708,0.3102,39.2,10.19,22.8,418.0
RBM17,401,38.72,49.94,123.42,0.2321,0.0564,1.467,1.0132,1.8042,0.3952,-4.6,5.66,-7.8,478.8
RBM19,960,43.6,56.24,170.17,0.1833,0.0363,1.371,1.0089,1.4581,0.3525,-9.7,6.11,-34.2,747.1
RBM22,420,33.62,43.37,114.24,0.3539,0.1287,1.772,1.0297,1.5392,0.4479,9.8,8.54,-1.5,303.0
RBM28,759,41.64,53.72,134.62,0.0814,0.012,1.212,1.0033,1.5227,0.3711,25.4,9.66,2.8,865.0
RBM33,1170,57.98,74.79,156.33,0.0563,0.0066,1.15,1.0017,1.7985,0.267,-8.2,6.46,-11.5,2441.0
RBM34,430,39.07,50.4,137.85,0.1308,0.02,1.274,1.0053,1.7731,0.3947,41.8,10.58,22.3,856.3
RBM38,239,38.31,49.42,122.56,0.3566,0.1273,1.662,1.0234,2.1733,0.3954,3.4,8.92,0.2,93.5
RBM39,530,42.86,55.28,134.39,0.3174,0.1103,1.785,1.0305,1.7962,0.3511,32.9,10.52,32.3,2466.9
RBM4,364,37.85,48.83,119.61,0.4106,0.1737,1.977,1.0424,1.8299,0.393,-0.9,6.65,3.3,157.3
RBM42,480,43.39,55.98,140.37,0.1605,0.0333,1.385,1.0095,1.8886,0.3539,12.3,10.08,5.3,282.8
RBM5,815,45.58,58.8,145.31,0.1125,0.023,1.312,1.0066,1.6223,0.3379,-7.8,5.89,-11.5,985.8
RBM7,266,40.34,52.03,128.42,0.1196,0.0174,1.257,1.0047,2.197,0.3826,9.4,9.89,3.1,221.4
RBM8A,174,23.37,30.15,96.15,0.4429,0.1969,1.923,1.039,1.4958,0.6384,-5.5,5.41,2.1,576.7
REEP3,255,39.33,50.74,136.02,0.5649,0.3215,2.464,1.075,2.1769,0.3667,13.3,9.9,9.1,365.6
REEP4,257,46.84,60.42,191.86,0.7623,0.5891,5.501,1.2823,2.5848,0.2581,14.4,10.04,4.2,714.8
REEP5,189,25.71,33.17,92.85,0.6237,0.3893,2.538,1.0801,1.5947,0.5582,2.2,8.2,6.1,11.0
RELA,551,40.87,52.72,142.55,0.3697,0.1387,1.776,1.03,1.6878,0.3683,-10.1,5.36,-16.9,425.4
RHOC,193,17.02,21.95,67.5,0.3761,0.145,1.836,1.0336,1.0471,0.8814,-0.8,6.2,-4.8,178.3
RIOK1,568,35.37,45.63,131.78,0.372,0.1466,1.925,1.0391,1.444,0.4218,-9.6,5.79,-16.5,948.0
RIOK2,552,35.17,45.37,135.55,0.2185,0.0725,1.68,1.0244,1.4515,0.4303,-13.4,5.59,-18.3,642.1
RIOK3,519,37.16,47.94,136.34,0.3955,0.1755,2.215,1.058,1.57,0.3943,-16.3,5.43,-17.5,547.0
RNF40,1001,110.3,142.29,423.1,0.9102,0.8284,5.645,1.2915,3.6307,0.1088,-12.1,5.92,-16.6,685.0
RPL10A,217,18.95,24.44,53.91,0.4244,0.1907,2.156,1.0541,1.115,0.7763,21.6,10.37,20.2,256.2
RPL13,211,29.75,38.38,90.37,0.3531,0.165,2.388,1.0698,1.7697,0.4871,39.4,12.15,21.4,221.0
RPL27,136,15.32,19.76,54.5,0.4309,0.1937,2.12,1.0517,1.0767,0.9622,25.2,11.0,10.0,207.2
RPL4,427,49.01,63.22,157.53,0.5968,0.3714,3.402,1.1408,2.23,0.2773,71.9,11.54,47.4,1097.7
RPP30,268,21.89,28.24,90.56,0.4041,0.1646,1.839,1.0337,1.189,0.6851,8.6,9.17,6.2,96.8
RPS16,146,19.44,25.08,87.68,0.6287,0.3958,2.601,1.0845,1.3299,0.7354,18.2,10.59,6.0,196.4
RPS18,152,20.39,26.3,69.62,0.5807,0.3489,3.051,1.1161,1.3734,0.6814,20.5,11.47,12.2,349.9
RPS6KA1,735,31.86,41.1,127.93,0.5696,0.3298,2.655,1.0883,1.1794,0.4471,3.6,7.68,2.0,172.1
RRP1,461,35.4,45.67,133.88,0.2058,0.0485,1.464,1.0131,1.5645,0.4323,11.5,9.77,3.0,632.8
RRP36,259,41.63,53.71,123.97,0.5884,0.3543,2.921,1.1069,2.2906,0.3364,22.6,10.62,12.2,384.5
RSL1D1,490,43.44,56.03,150.18,0.1616,0.0443,1.479,1.0138,1.8757,0.3521,53.9,10.61,22.3,575.9
RTN4,1192,62.95,81.21,174.1,0.0657,0.0112,1.197,1.0029,1.9392,0.2456,-104.9,4.27,-70.6,1652.9
SAE1,346,23.08,29.77,82.0,0.2897,0.1151,1.976,1.0423,1.1374,0.6446,-10.5,5.04,-10.0,191.8
SCYL1,808,38.74,49.97,140.51,0.4949,0.2451,2.03,1.0458,1.3832,0.3827,-9.4,5.89,-21.7,1135.0
SEC16A,2357,66.45,85.73,212.93,0.1146,0.0159,1.244,1.0043,1.5798,0.2323,-58.3,5.44,-27.7,1248.2
SEC22B,215,26.81,34.59,105.21,0.7225,0.5227,3.237,1.1292,1.5834,0.5121,3.3,8.75,4.0,222.0
SEC23A,765,28.01,36.13,87.23,0.1597,0.0678,1.651,1.0228,1.021,0.5413,-1.3,6.65,-6.2,555.4
SEC23B,767,28.22,36.4,96.98,0.18,0.0714,1.687,1.0248,1.0277,0.5362,-3.2,6.43,-4.1,502.9
SEC24C,1094,37.12,47.88,134.48,0.1057,0.0154,1.245,1.0043,1.1812,0.4159,-0.6,6.68,-14.5,339.9
SEC24D,1032,36.8,47.47,132.29,0.1477,0.0219,1.242,1.0042,1.1973,0.4196,0.4,6.87,-14.9,320.7
SEC31A,1220,55.3,71.34,196.31,0.6123,0.3753,2.515,1.0785,1.6885,0.2599,-5.8,6.43,-4.1,1109.0
SEC61B,96,30.9,39.86,96.46,0.4659,0.2679,3.666,1.1593,2.4786,0.4329,10.1,12.06,6.0,164.9
SEPTIN7,437,42.04,54.23,195.08,0.6066,0.3775,3.141,1.1225,1.8961,0.3285,7.0,8.9,10.5,453.9
SF3A1,793,46.48,59.97,160.53,0.1306,0.0324,1.388,1.0097,1.6717,0.3303,-24.9,5.01,-21.6,145.7
SF3B1,1304,41.92,54.07,136.84,0.0963,0.015,1.242,1.0042,1.2479,0.3683,-2.8,6.66,-12.4,714.8
SF3B2,895,54.29,70.04,179.53,0.2461,0.0713,1.612,1.0206,1.8648,0.2798,-20.4,5.41,-26.7,1234.8
SF3B3,1217,34.39,44.36,107.52,0.288,0.0925,1.704,1.0257,1.051,0.4395,-41.4,5.0,-58.8,710.5
SF3B5,86,17.82,22.99,59.31,0.6096,0.397,4.406,1.2101,1.4907,0.719,-2.5,5.9,-3.6,61.9
SF3B6,125,15.68,20.23,49.17,0.2137,0.1142,2.071,1.0484,1.1379,0.943,7.1,9.7,4.1,50.6
SGPL1,568,29.53,38.09,114.31,0.3127,0.1041,1.719,1.0266,1.2055,0.5114,19.1,9.46,6.4,377.2
SH3GLB1,365,37.12,47.89,143.62,0.7153,0.5185,4.148,1.1925,1.7928,0.3502,-3.6,5.71,-1.8,150.2
SH3GLB2,395,35.66,46.0,140.62,0.7371,0.5448,3.547,1.151,1.6712,0.3778,-5.4,5.65,-4.8,104.5
SLC11A2,568,27.67,35.69,109.37,0.4629,0.2149,1.971,1.042,1.1295,0.5378,-7.0,5.68,-4.5,146.0
SLC15A4,577,28.97,37.37,128.7,0.2017,0.0797,1.754,1.0287,1.1757,0.5203,14.9,9.13,14.5,231.8
SLC18B1,456,27.11,34.98,120.21,0.4978,0.2603,2.541,1.0804,1.2033,0.5293,-7.6,5.01,-6.6,337.4
SLC2A1,492,23.46,30.27,82.65,0.29,0.1035,1.836,1.0336,1.0116,0.6393,6.5,8.88,1.3,255.1
SLC31A1,190,31.84,41.07,106.11,0.477,0.2445,2.564,1.0819,1.9707,0.4501,0.3,7.03,-1.9,129.3
SLC35F2,374,27.46,35.42,139.99,0.391,0.1981,2.721,1.0929,1.3138,0.5167,-2.6,5.82,3.3,200.6
SLC6A15,730,34.45,44.43,135.28,0.578,0.3371,2.57,1.0824,1.2783,0.4159,-18.1,4.93,-19.4,205.7
SLC7A1,629,25.88,33.38,91.68,0.3828,0.1516,1.889,1.0369,1.0162,0.5779,-6.7,5.16,-0.9,125.2
SLC9A3R1,358,34.72,44.78,121.86,0.6092,0.3717,2.516,1.0786,1.689,0.414,-8.2,5.46,-3.8,304.9
SLK,1235,56.36,72.71,227.25,0.494,0.2477,2.227,1.0589,1.7129,0.2598,-57.7,4.94,-62.6,970.6
SLX9,230,37.8,48.76,110.54,0.4817,0.2401,2.327,1.0656,2.1758,0.3849,18.3,11.57,10.1,415.7
SMARCA1,1042,39.85,51.41,151.55,0.2703,0.0912,1.762,1.0291,1.2919,0.378,7.7,8.19,-16.4,690.6
SMARCB1,385,33.1,42.7,102.03,0.6352,0.406,2.853,1.1022,1.5667,0.4249,-5.2,5.82,-6.8,402.1
SMARCC1,1105,56.57,72.97,198.03,0.3416,0.1193,1.717,1.0265,1.7933,0.267,-31.7,5.43,-28.9,403.9
SMARCC2,1214,58.5,75.46,236.55,0.357,0.1303,1.763,1.0292,1.7894,0.2575,-31.9,5.4,-23.8,1438.0
SMARCD1,515,45.95,59.28,145.85,0.5963,0.3593,2.717,1.0926,1.9472,0.3088,12.9,9.6,0.3,370.6
SMARCD2,531,47.61,61.42,160.35,0.5351,0.2863,2.141,1.0531,1.9942,0.3092,18.1,10.03,9.3,403.5
SMARCE1,411,51.28,66.16,181.98,0.5684,0.3263,2.533,1.0798,2.3675,0.28,-26.3,4.69,-30.8,846.8
SMN1,294,35.76,46.13,128.23,0.2755,0.0899,1.727,1.0271,1.8752,0.4221,-1.6,6.12,10.0,162.9
SNRNP40,357,23.29,30.05,95.14,0.3351,0.1488,2.236,1.0594,1.1345,0.6282,4.0,8.05,5.1,109.6
SNRPB2,225,22.71,29.29,74.69,0.5049,0.2632,2.439,1.0733,1.318,0.6361,12.4,10.14,11.0,275.6
SNRPF,86,14.61,18.84,51.06,0.275,0.1073,1.928,1.0393,1.2218,1.0214,-5.9,4.48,-6.0,146.9
SNX1,522,37.74,48.68,155.29,0.4382,0.2026,2.212,1.0578,1.5908,0.3884,-20.2,4.94,-22.8,293.5
SNX12,162,22.6,29.15,90.75,0.6055,0.3671,2.477,1.0759,1.4859,0.6377,2.2,8.79,2.0,77.9
SNX17,470,24.75,31.92,76.39,0.2236,0.0592,1.54,1.0169,1.0856,0.6161,0.7,7.24,-1.8,77.1
SNX2,519,34.88,45.0,118.78,0.3832,0.1496,1.832,1.0333,1.4737,0.4301,-21.2,4.9,-29.9,178.0
SNX27,541,34.51,44.51,141.15,0.4476,0.224,2.574,1.0827,1.4351,0.415,-7.3,6.05,-16.3,259.2
SNX3,162,21.45,27.67,81.0,0.5593,0.3145,2.393,1.0701,1.4107,0.6753,2.3,9.16,4.1,68.3
SNX4,450,33.18,42.81,122.03,0.5757,0.3373,2.716,1.0926,1.4801,0.4276,-9.8,5.63,-5.5,275.7
SNX5,404,27.79,35.85,108.01,0.5814,0.3417,2.627,1.0863,1.2912,0.5136,-2.9,6.32,-6.0,147.3
SNX9,595,32.56,42.0,108.02,0.2067,0.0431,1.366,1.0087,1.3059,0.4721,-13.9,5.29,-13.7,204.5
SOS1,1333,42.13,54.35,135.89,0.3204,0.1034,1.611,1.0206,1.2438,0.3606,-9.6,6.38,-12.8,236.9
SPAST,616,39.49,50.94,149.02,0.227,0.0814,1.752,1.0286,1.5632,0.3817,24.9,10.06,21.7,486.7
SPG21,308,18.64,24.04,60.68,0.2168,0.048,1.402,1.0103,0.9601,0.8234,-5.1,5.83,-8.6,54.6
SPNS1,528,26.67,34.41,95.05,0.4507,0.2052,2.011,1.0446,1.1195,0.5565,-2.3,6.19,-5.5,182.4
SPOUT1,376,31.6,40.76,123.03,0.7267,0.5312,3.708,1.1622,1.5088,0.4222,0.9,7.16,6.5,927.9
SPTLC1,473,30.56,39.43,104.29,0.453,0.208,2.045,1.0468,1.3376,0.4846,-8.0,5.66,-10.7,110.4
SQSTM1,440,37.94,48.94,118.39,0.0655,0.0154,1.226,1.0037,1.7068,0.4071,-19.7,4.97,-20.4,326.0
SRP19,144,22.85,29.47,89.47,0.6482,0.423,2.974,1.1107,1.5712,0.611,14.0,10.26,8.0,328.2
SRP68,627,49.62,64.0,199.47,0.5879,0.3554,3.004,1.1128,1.9509,0.2808,9.0,8.69,-8.4,441.8
SRP72,671,38.07,49.11,145.12,0.4398,0.2074,2.3,1.0638,1.4588,0.3828,25.4,9.63,12.4,919.8
SRP9,86,15.86,20.46,64.11,0.6477,0.4223,2.972,1.1106,1.3269,0.8801,1.2,8.2,0.1,73.0
SRPRA,638,35.78,46.16,129.1,0.3349,0.1122,1.597,1.0198,1.3978,0.4248,12.8,9.3,15.2,546.6
SSB,408,41.96,54.13,132.23,0.7402,0.5482,3.269,1.1315,1.9426,0.3265,-0.4,6.76,-5.7,280.6
STAG2,1231,41.29,53.27,131.21,0.2852,0.0939,1.737,1.0277,1.2565,0.3654,-40.1,5.15,-55.9,1408.6
STAM,540,40.98,52.86,142.53,0.2849,0.089,1.672,1.0239,1.7055,0.3695,-28.9,4.55,-7.7,796.6
STAM2,525,41.07,52.98,147.31,0.2892,0.0919,1.688,1.0249,1.7277,0.3683,-25.5,4.8,-6.3,661.1
STIM1,685,82.36,106.24,257.25,0.8256,0.6817,4.072,1.1874,3.1314,0.1585,-11.4,6.19,-7.2,517.9
STK26,416,23.58,30.42,71.46,0.1755,0.0368,1.398,1.0101,1.0837,0.6509,-13.3,5.03,-12.6,354.1
STK4,487,30.97,39.95,109.83,0.3582,0.1372,1.894,1.0372,1.3406,0.4826,-21.2,4.83,-16.8,327.0
STT3A,705,30.08,38.8,114.3,0.4048,0.1766,2.129,1.0523,1.1312,0.4898,5.6,8.0,-4.2,566.5
STT3B,826,39.05,50.38,186.09,0.5878,0.3465,2.467,1.0753,1.3828,0.3692,17.6,9.1,14.4,1345.6
STX10,249,37.38,48.21,150.01,0.8349,0.6988,5.387,1.2749,2.0874,0.3254,-13.6,4.66,-13.7,342.0
